"","state","County"
"1","IL",17001
"2","IL",17003
"3","IL",17005
"4","IL",17007
"5","IL",17009
"6","IL",17011
"7","IL",17013
"8","IL",17015
"9","IL",17017
"10","IL",17019
"11","IL",17021
"12","IL",17023
"13","IL",17025
"14","IL",17027
"15","IL",17029
"16","IL",17031
"17","IL",17033
"18","IL",17035
"19","IL",17037
"20","IL",17039
"21","IL",17041
"22","IL",17043
"23","IL",17045
"24","IL",17047
"25","IL",17049
"26","IL",17051
"27","IL",17053
"28","IL",17055
"29","IL",17057
"30","IL",17059
"31","IL",17061
"32","IL",17063
"33","IL",17065
"34","IL",17067
"35","IL",17069
"36","IL",17071
"37","IL",17073
"38","IL",17075
"39","IL",17077
"40","IL",17079
"41","IL",17081
"42","IL",17083
"43","IL",17085
"44","IL",17087
"45","IL",17089
"46","IL",17091
"47","IL",17093
"48","IL",17095
"49","IL",17097
"50","IL",17099
"51","IL",17101
"52","IL",17103
"53","IL",17105
"54","IL",17107
"55","IL",17109
"56","IL",17111
"57","IL",17113
"58","IL",17115
"59","IL",17117
"60","IL",17119
"61","IL",17121
"62","IL",17123
"63","IL",17125
"64","IL",17127
"65","IL",17129
"66","IL",17131
"67","IL",17133
"68","IL",17135
"69","IL",17137
"70","IL",17139
"71","IL",17141
"72","IL",17143
"73","IL",17145
"74","IL",17147
"75","IL",17149
"76","IL",17151
"77","IL",17153
"78","IL",17155
"79","IL",17157
"80","IL",17159
"81","IL",17161
"82","IL",17163
"83","IL",17165
"84","IL",17167
"85","IL",17169
"86","IL",17171
"87","IL",17173
"88","IL",17175
"89","IL",17177
"90","IL",17179
"91","IL",17181
"92","IL",17183
"93","IL",17185
"94","IL",17187
"95","IL",17189
"96","IL",17191
"97","IL",17193
"98","IL",17195
"99","IL",17197
"100","IL",17199
"101","IL",17201
"102","IL",17203
"103","IN",18001
"104","IN",18003
"105","IN",18005
"106","IN",18007
"107","IN",18009
"108","IN",18011
"109","IN",18013
"110","IN",18015
"111","IN",18017
"112","IN",18019
"113","IN",18021
"114","IN",18023
"115","IN",18025
"116","IN",18027
"117","IN",18029
"118","IN",18031
"119","IN",18033
"120","IN",18035
"121","IN",18037
"122","IN",18039
"123","IN",18041
"124","IN",18043
"125","IN",18045
"126","IN",18047
"127","IN",18049
"128","IN",18051
"129","IN",18053
"130","IN",18055
"131","IN",18057
"132","IN",18059
"133","IN",18061
"134","IN",18063
"135","IN",18065
"136","IN",18067
"137","IN",18069
"138","IN",18071
"139","IN",18073
"140","IN",18075
"141","IN",18077
"142","IN",18079
"143","IN",18081
"144","IN",18083
"145","IN",18085
"146","IN",18087
"147","IN",18089
"148","IN",18091
"149","IN",18093
"150","IN",18095
"151","IN",18097
"152","IN",18099
"153","IN",18101
"154","IN",18103
"155","IN",18105
"156","IN",18107
"157","IN",18109
"158","IN",18111
"159","IN",18113
